"collection_id","site","species","length_sl_mm"
"NFM08-146","6","Mugil cephalus",24.29
"NFM08-146","6","Mugil cephalus",24.31
"NFM08-146","6","Mugil cephalus",24.31
"NFM08-146","6","Mugil cephalus",24.31
"NFM08-146","6","Mugil cephalus",24.31
"NFM08-146","6","Mugil cephalus",24.33
"NFM08-146","6","Mugil cephalus",24.34
"NFM08-146","6","Mugil cephalus",24.36
"NFM08-146","6","Mugil cephalus",24.37
"NFM08-146","6","Mugil cephalus",24.41
"NFM08-146","6","Mugil cephalus",24.41
"NFM08-146","6","Mugil cephalus",24.42
"NFM08-146","6","Mugil cephalus",24.43
"NFM08-146","6","Mugil cephalus",24.45
"NFM08-146","6","Mugil cephalus",24.47
"NFM08-146","6","Mugil cephalus",24.48
"NFM08-146","6","Mugil cephalus",24.48
"NFM08-146","6","Mugil cephalus",24.49
"NFM08-146","6","Mugil cephalus",24.54
"NFM08-146","6","Mugil cephalus",24.55
"NFM08-146","6","Mugil cephalus",24.56
"NFM08-146","6","Mugil cephalus",24.57
"NFM08-146","6","Mugil cephalus",24.58
"NFM08-146","6","Mugil cephalus",24.58
"NFM08-146","6","Mugil cephalus",24.59
"NFM08-146","6","Mugil cephalus",24.61
"NFM08-146","6","Mugil cephalus",24.61
"NFM08-146","6","Mugil cephalus",24.62
"NFM08-146","6","Mugil cephalus",24.63
"NFM08-146","6","Mugil cephalus",24.65
"NFM08-146","6","Mugil cephalus",24.65
"NFM08-146","6","Mugil cephalus",24.66
"NFM08-146","6","Mugil cephalus",24.66
"NFM08-146","6","Mugil cephalus",24.66
"NFM08-146","6","Mugil cephalus",24.67
"NFM08-146","6","Mugil cephalus",24.67
"NFM08-146","6","Mugil cephalus",24.69
"NFM08-146","6","Mugil cephalus",24.71
"NFM08-146","6","Mugil cephalus",24.71
"NFM08-146","6","Mugil cephalus",24.73
"NFM08-146","6","Mugil cephalus",24.73
"NFM08-146","6","Mugil cephalus",24.75
"NFM08-146","6","Mugil cephalus",24.75
"NFM08-146","6","Mugil cephalus",24.76
"NFM08-146","6","Mugil cephalus",24.76
"NFM08-146","6","Mugil cephalus",24.77
"NFM08-146","6","Mugil cephalus",24.77
"NFM08-146","6","Mugil cephalus",24.79
"NFM08-146","6","Mugil cephalus",24.79
"NFM08-146","6","Mugil cephalus",24.8
"NFM08-146","6","Mugil cephalus",24.8
"NFM08-146","6","Mugil cephalus",24.8
"NFM08-146","6","Mugil cephalus",24.81
"NFM08-146","6","Mugil cephalus",24.81
"NFM08-146","6","Mugil cephalus",24.81
"NFM08-146","6","Mugil cephalus",24.84
"NFM08-146","6","Mugil cephalus",24.85
"NFM08-146","6","Mugil cephalus",24.86
"NFM08-146","6","Mugil cephalus",24.86
"NFM08-146","6","Mugil cephalus",24.87
"NFM08-146","6","Mugil cephalus",24.88
"NFM08-146","6","Mugil cephalus",24.88
"NFM08-146","6","Mugil cephalus",24.89
"NFM08-146","6","Mugil cephalus",24.9
"NFM08-146","6","Mugil cephalus",24.9
"NFM08-146","6","Mugil cephalus",24.91
"NFM08-146","6","Mugil cephalus",24.91
"NFM08-146","6","Mugil cephalus",24.92
"NFM08-146","6","Mugil cephalus",24.94
"NFM08-146","6","Mugil cephalus",24.95
"NFM08-146","6","Mugil cephalus",24.95
"NFM08-146","6","Mugil cephalus",24.96
"NFM08-146","6","Mugil cephalus",24.97
"NFM08-146","6","Mugil cephalus",24.97
"NFM08-146","6","Mugil cephalus",24.98
"NFM08-146","6","Mugil cephalus",25
"NFM08-146","6","Mugil cephalus",25.01
"NFM08-146","6","Mugil cephalus",25.02
"NFM08-146","6","Mugil cephalus",25.02
"NFM08-146","6","Mugil cephalus",25.04
"NFM08-146","6","Mugil cephalus",25.05
"NFM08-146","6","Mugil cephalus",25.05
"NFM08-146","6","Mugil cephalus",25.06
"NFM08-146","6","Mugil cephalus",25.07
"NFM08-146","6","Mugil cephalus",25.08
"NFM08-146","6","Mugil cephalus",25.08
"NFM08-146","6","Mugil cephalus",25.1
"NFM08-146","6","Mugil cephalus",25.1
"NFM08-146","6","Mugil cephalus",25.11
"NFM08-146","6","Mugil cephalus",25.12
"NFM08-146","6","Mugil cephalus",25.14
"NFM08-146","6","Mugil cephalus",25.14
"NFM08-146","6","Mugil cephalus",25.15
"NFM08-146","6","Mugil cephalus",25.15
"NFM08-146","6","Mugil cephalus",25.16
"NFM08-146","6","Mugil cephalus",25.17
"NFM08-146","6","Mugil cephalus",25.18
"NFM08-146","6","Mugil cephalus",25.18
"NFM08-146","6","Mugil cephalus",25.19
"NFM08-146","6","Mugil cephalus",25.19
"NFM08-146","6","Mugil cephalus",25.19
"NFM08-146","6","Mugil cephalus",25.2
"NFM08-146","6","Mugil cephalus",25.22
"NFM08-146","6","Mugil cephalus",25.22
"NFM08-146","6","Mugil cephalus",25.24
"NFM08-146","6","Mugil cephalus",25.24
"NFM08-146","6","Mugil cephalus",25.25
"NFM08-146","6","Mugil cephalus",25.25
"NFM08-146","6","Mugil cephalus",25.25
"NFM08-146","6","Mugil cephalus",25.26
"NFM08-146","6","Mugil cephalus",25.26
"NFM08-146","6","Mugil cephalus",25.28
"NFM08-146","6","Mugil cephalus",25.28
"NFM08-146","6","Mugil cephalus",25.3
"NFM08-146","6","Mugil cephalus",25.32
"NFM08-146","6","Mugil cephalus",25.33
"NFM08-146","6","Mugil cephalus",25.34
"NFM08-146","6","Mugil cephalus",25.34
"NFM08-146","6","Mugil cephalus",25.34
